Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
245,Christian Luyindama,cd COD,DF,Standard Liège,24,1994,20,20,1800,20.0,3,0,3,3,0,0,7,0,0.15,0.00,0.15,0.15,0.15,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,50.0,90,20,0,,2,1.75,32,23,+9,+0.45,+0.15
246,Johan Lædre Bjørdal,no NOR,DF,Zulte Waregem,32,1986,3,2,182,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,6.7,91,2,1,1,7,0.33,1,10,-9,-4.45,-4.38
247,Paul-Jose M'Poku,cd COD,"MF,FW",Standard Liège,26,1992,30,27,2327,25.9,8,5,13,3,5,5,9,0,0.31,0.19,0.50,0.12,0.31,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,64.6,84,14,3,19,0,2.10,45,23,+22,+0.85,+1.35
248,Yevhen Makarenko,ua UKR,MF,Anderlecht,27,1991,15,13,1236,13.7,0,2,2,0,0,0,5,0,0.00,0.15,0.15,0.00,0.15,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,34.3,90,13,2,33,2,1.60,25,16,+9,+0.66,+0.85
249,Ruslan Malinovskyi,ua UKR,MF,Genk,25,1993,37,34,3004,33.4,13,11,24,8,5,5,8,2,0.39,0.33,0.72,0.24,0.57,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,83.4,86,24,3,32,1,2.05,69,32,+37,+1.11,+0.20
250,Parfait Mandanda,cd COD,GK,Charleroi,28,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,4,1.33,,,,1,0,2,0,0.0,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,90,10.0,90,3,0,,3,1.00,5,4,+1,+0.33,-0.11
251,Benson Manuel,be BEL,"MF,FW",Excel Mouscron,21,1997,22,15,1492,16.6,2,8,10,2,0,0,3,0,0.12,0.48,0.60,0.12,0.60,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,55.3,88,10,7,24,1,1.45,26,20,+6,+0.36,+1.03
252,Damien Marcq,fr FRA,MF,Zulte Waregem,29,1988,11,9,752,8.4,1,0,1,1,0,0,2,1,0.12,0.00,0.12,0.12,0.12,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,27.9,76,6,2,32,9,0.82,14,20,-6,-0.72,-0.49
253,Lukáš Mareček,cz CZE,MF,Lokeren,28,1990,25,24,2077,23.1,2,0,2,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,76.9,85,13,1,45,3,0.76,21,40,-19,-0.82,+0.04
254,Issa Marega,fr FRA,DF,Cercle Brugge,20,1998,7,6,547,6.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,20.3,89,5,1,16,1,0.29,8,16,-8,-1.32,-0.06
255,Mijat Marić,ch SUI,DF,Lokeren,34,1984,4,4,354,3.9,1,0,1,0,1,1,1,0,0.25,0.00,0.25,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,13.1,89,3,0,,0,0.25,3,10,-7,-1.78,-1.09
256,Răzvan Marin,ro ROU,MF,Standard Liège,22,1996,38,35,3198,35.5,10,8,18,8,2,2,8,0,0.28,0.23,0.51,0.23,0.45,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,88.8,90,32,3,21,0,1.58,55,48,+7,+0.20,-1.59
257,Stergos Marinos,gr GRE,"DF,MF",Charleroi,30,1987,27,27,2430,27.0,0,3,3,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90.0,90,27,0,,2,1.41,39,38,+1,+0.04,-3.96
258,François Marquet,be BEL,MF,Oostende,23,1995,7,4,419,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,15.5,83,1,3,29,11,0.29,4,6,-2,-0.43,+0.52
259,Sulayman Marreh,gm GAM,MF,Eupen,22,1996,21,21,1755,19.5,0,1,1,0,0,0,6,1,0.00,0.05,0.05,0.00,0.05,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,65.0,84,18,0,,0,0.95,22,33,-11,-0.56,+1.15
260,Francisco Martos,es ESP,DF,Charleroi,34,1984,21,21,1680,18.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,62.2,80,16,0,,3,1.48,26,25,+1,+0.05,-1.01
261,Stefano Marzo,be BEL,DF,Lokeren,27,1991,2,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,3.6,91,1,1,7,4,0.00,0,4,-4,-3.67,-2.95
262,Milan Massop,nl NED,"DF,MF",Waasland-Bev,24,1993,26,26,2270,25.2,1,0,1,1,0,0,4,1,0.04,0.00,0.04,0.04,0.04,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,84.1,87,22,0,,2,0.96,30,40,-10,-0.40,+1.70
263,Clinton Mata,ao ANG,"MF,DF",Club Brugge,25,1992,24,22,1740,19.3,2,1,3,2,0,0,4,0,0.10,0.05,0.16,0.10,0.16,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,48.3,77,11,2,21,1,1.75,35,23,+12,+0.62,-0.73
264,Matheus,br BRA,"DF,MF",Antwerp,26,1992,14,13,1168,13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,32.4,89,12,1,10,13,1.71,16,17,-1,-0.08,-0.15
265,Dylan Mbayo,be BEL,FW,Lokeren,16,2001,2,2,154,1.7,0,1,1,0,0,0,1,0,0.00,0.58,0.58,0.00,0.58,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,5.7,77,0,0,,0,1.50,3,2,+1,+0.58,+1.50
266,Kara Mbodji,sn SEN,DF,Anderlecht,28,1989,17,17,1468,16.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,40.8,86,16,0,,0,1.24,19,21,-2,-0.12,-0.38
267,Dieumerci Mbokani,cd COD,FW,Antwerp,32,1985,31,29,2638,29.3,11,6,17,9,2,2,11,0,0.38,0.20,0.58,0.31,0.51,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,73.3,90,26,2,20,0,1.52,39,42,-3,-0.10,-0.48
268,Yannis Mbombo,be BEL,"FW,MF",Excel Mouscron,24,1994,14,4,454,5.0,1,0,1,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,16.8,82,1,10,13,9,0.86,6,5,+1,+0.20,+0.36
269,Ilombe Mboyo,be BEL,"MF,FW",Kortrijk,31,1987,20,18,1546,17.2,7,4,11,7,0,0,2,0,0.41,0.23,0.64,0.41,0.64,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,57.3,84,13,2,20,0,1.25,24,28,-4,-0.23,-1.79
270,Brandon Mechele,be BEL,DF,Club Brugge,25,1993,32,32,2880,32.0,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,80.0,90,32,0,,3,1.75,62,35,+27,+0.84,-0.78
