Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
241,Michiel Kramer,nl NED,FW,Sparta R'dam,28,1988,8,7,630,7.0,2,2,4,2,0,0,0,1,0.29,0.29,0.57,0.29,0.57,Matches,2017-2018,Netherlands,0,5,,0.00,0.71,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,20.6,,6,1,,0,1.25,11,16,-5,-0.71,+0.62
242,Michiel Kramer,nl NED,FW,Feyenoord,28,1988,8,2,272,3.0,0,1,1,0,0,1,0,0,0.00,0.33,0.33,0.00,0.33,Matches,2017-2018,Netherlands,0,5,,0.00,0.71,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,20.6,,6,1,,0,1.25,11,16,-5,-0.71,+0.62
243,Kristófer Kristinsson,is ISL,MF,Willem II,18,1999,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Netherlands,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.4,,0,2,,12,3.00,0,0,0,0.00,+0.38
244,Ögmundur Kristinsson,is ISL,GK,Excelsior,28,1989,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Netherlands,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,27,1.80,93,66,76.3,4,3,8,2,13.3,5,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,90,44.1,,15,0,,16,1.00,17,27,-10,-0.67,-0.40
245,Arnold Kruiswijk,nl NED,DF,Vitesse,32,1984,4,3,224,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Netherlands,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,7.3,,1,1,,4,2.25,7,3,+4,+1.61,+1.23
246,Bas Kuipers,nl NED,DF,ADO Den Haag,22,1994,4,2,189,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Netherlands,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,6.2,,2,2,,30,1.17,1,4,-3,-1.43,-1.27
247,Nick Kuipers,nl NED,DF,ADO Den Haag,24,1992,9,4,434,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Netherlands,0,2,,0.00,0.41,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,14.2,,4,5,,10,1.11,3,10,-7,-1.45,-1.42
248,Christian Kum,nl NED,DF,Roda JC,31,1985,19,19,1665,18.5,2,1,3,2,0,0,1,0,0.11,0.05,0.16,0.11,0.16,Matches,2017-2018,Netherlands,0,2,,0.00,0.11,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,54.4,,18,0,,11,1.26,27,31,-4,-0.22,+1.27
249,Brandley Kuwas,cw CUW,FW,Heracles Almelo,24,1992,30,29,2495,27.7,5,13,18,5,0,1,1,0,0.18,0.47,0.65,0.18,0.65,Matches,2017-2018,Netherlands,0,28,,0.00,1.01,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,81.5,,20,1,,0,1.30,41,49,-8,-0.29,+0.67
250,Marko Kvasina,at AUT,FW,Twente,20,1996,13,3,354,3.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Netherlands,0,2,,0.00,0.51,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,11.6,,2,10,,12,0.46,2,10,-8,-2.03,-1.44
