Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
235,Ghislain Konan,ci CIV,DF,Vitória,21,1995,25,25,2212,24.6,0,2,2,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,2017-2018,Portugal,5,0,0.0,0.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,29,,,,,,,,,,,,,,,,,0,33,1,70,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,72.3,,21,0,,1,1.20,33,36,-3,-0.12,+0.73
236,Koffi Kouao,ci CIV,DF,Moreirense,19,1998,9,5,460,5.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,,0,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,15.0,,3,4,,14,1.00,4,8,-4,-0.78,-0.19
237,Filip Krovinović,hr CRO,MF,Benfica,21,1995,13,9,856,9.5,1,1,2,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,Matches,2017-2018,Portugal,22,8,36.4,2.31,0.84,0.05,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,12,,,,,,,,,,,,,,,,,0,5,1,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,28.0,,9,4,,3,2.54,26,5,+21,+2.21,+0.70
238,Kuca,cv CPV,"MF,FW",Boavista,27,1989,27,16,1283,14.3,3,1,4,3,0,0,1,0,0.21,0.07,0.28,0.21,0.28,Matches,2017-2018,Portugal,11,4,36.4,0.77,0.28,0.27,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,14,,,,,,,,,,,,,,,,,0,15,6,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,41.9,,4,11,,3,1.56,13,12,+1,+0.07,+0.58
239,Charalambos Kyriakou,cy CYP,"MF,DF",Estoril,22,1995,19,12,1213,13.5,2,1,3,2,0,0,3,0,0.15,0.07,0.22,0.15,0.22,Matches,2017-2018,Portugal,21,6,28.6,1.56,0.45,0.10,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,34,,,,,,,,,,,,,,,,,0,19,0,25,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,39.6,,10,7,,2,0.84,14,25,-11,-0.82,+0.21
240,Miguel Layún,mx MEX,"DF,MF",Porto,29,1988,7,3,263,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,6,2,33.3,2.05,0.68,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,0,6,1,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,8.6,,2,4,,2,2.71,4,2,+2,+0.68,-1.31
241,André Filipe Carneiro Leal,pt POR,FW,Paços,21,1995,15,2,454,5.0,0,2,2,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,Matches,2017-2018,Portugal,9,3,33.3,1.78,0.59,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,0,,,,,,,,,,,,,,,,,0,12,1,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14.8,,1,13,,16,0.60,6,17,-11,-2.18,-1.66
242,Leandrinho,br BRA,MF,Rio Ave,23,1993,9,7,569,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,1,0,0.0,0.16,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,7,,,,,,,,,,,,,,,,,0,8,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,18.6,,2,2,,11,0.78,5,12,-7,-1.11,-1.29
243,André Leão,pt POR,MF,Paços,32,1985,18,16,1341,14.9,0,1,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches,2017-2018,Portugal,7,2,28.6,0.47,0.13,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,33,,,,,,,,,,,,,,,,,0,25,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,43.8,,11,2,,4,1.00,17,27,-10,-0.67,+0.17
244,Rafael Leão,pt POR,"FW,MF",Sporting CP,18,1999,3,0,103,1.1,1,1,2,1,0,0,0,0,0.87,0.87,1.75,0.87,1.75,Matches,2017-2018,Portugal,3,2,66.7,2.62,1.75,0.33,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3.4,,0,3,,1,2.00,4,1,+3,+2.62,+1.53
