Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
1331,Kenan Kodro,ba BIH,FW,Osasuna,es La Liga,22,1993,28,17,1469,16.3,7,1,8,7,0,0,4,0,0.43,0.06,0.49,0.43,0.49,Matches,2016-2017,,,,,,,,,,,,
1332,Erwin Koffi,fr FRA,DF,Lorient,fr Ligue 1,21,1995,12,11,997,11.1,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches,2016-2017,,,,,,,,,,,,
1333,Dominik Kohr,de GER,MF,Augsburg,de Bundesliga,22,1994,26,21,1964,21.8,2,0,2,2,0,0,13,2,0.09,0.00,0.09,0.09,0.09,Matches,2016-2017,,,,,,,,,,,,
1334,Koke,es ESP,MF,Atlético Madrid,es La Liga,24,1992,36,36,3168,35.2,4,8,12,4,0,0,7,1,0.11,0.23,0.34,0.11,0.34,Matches,2016-2017,,,,,,,,,,,,
1335,Aleksandar Kolarov,rs SRB,DF,Manchester City,eng Premier League,30,1985,29,27,2535,28.2,1,2,3,1,0,0,6,0,0.04,0.07,0.11,0.04,0.11,Matches,2016-2017,,,,,,,,,,,,
1336,Sead Kolašinac,ba BIH,"MF,DF",Schalke 04,de Bundesliga,23,1993,25,24,2065,22.9,3,5,8,3,0,0,5,0,0.13,0.22,0.35,0.13,0.35,Matches,2016-2017,,,,,,,,,,,,
1337,Timothée Kolodziejczak,fr FRA,DF,Sevilla,es La Liga,24,1991,5,3,330,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1338,Timothée Kolodziejczak,fr FRA,DF,M'Gladbach,de Bundesliga,24,1991,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1339,Vincent Kompany,be BEL,DF,Manchester City,eng Premier League,30,1986,11,10,820,9.1,3,0,3,3,0,0,5,0,0.33,0.00,0.33,0.33,0.33,Matches,2016-2017,,,,,,,,,,,,
1340,Geoffrey Kondogbia,cf CTA,MF,Inter,it Serie A,23,1993,24,20,1711,19.0,1,2,3,1,0,0,5,1,0.05,0.11,0.16,0.05,0.16,Matches,2016-2017,,,,,,,,,,,,
1341,Arouna Koné,ci CIV,FW,Everton,eng Premier League,32,1983,5,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1342,Bakary Koné,bf BFA,DF,Málaga,es La Liga,28,1988,7,7,601,6.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1343,Lamine Koné,ci CIV,DF,Sunderland,eng Premier League,27,1989,30,29,2545,28.3,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches,2016-2017,,,,,,,,,,,,
1344,Mamadou Koné,ci CIV,FW,Leganés,es La Liga,24,1991,5,1,173,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1345,Panagiotis Kone,gr GRE,MF,Udinese,it Serie A,29,1987,5,3,301,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1346,Panagiotis Kone,gr GRE,MF,Granada,es La Liga,29,1987,2,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1347,Youssouf Koné,ml MLI,DF,Lille,fr Ligue 1,21,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1348,Abdoulay Konko,fr FRA,"MF,DF",Atalanta,it Serie A,32,1984,10,7,617,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1349,Yevhen Konoplyanka,ua UKR,"FW,MF",Schalke 04,de Bundesliga,26,1989,17,5,609,6.8,1,1,2,1,0,0,1,0,0.15,0.15,0.30,0.15,0.30,Matches,2016-2017,,,,,,,,,,,,
1350,Julian Korb,de GER,"DF,MF",M'Gladbach,de Bundesliga,24,1992,12,7,758,8.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1351,Laurent Koscielny,fr FRA,DF,Arsenal,eng Premier League,30,1985,33,33,2822,31.4,2,0,2,2,0,0,4,1,0.06,0.00,0.06,0.06,0.06,Matches,2016-2017,,,,,,,,,,,,
1352,Filip Kostić,rs SRB,MF,Hamburger SV,de Bundesliga,23,1992,31,29,2518,28.0,4,3,7,4,0,0,6,0,0.14,0.11,0.25,0.14,0.25,Matches,2016-2017,,,,,,,,,,,,
1353,Andrej Kotnik,si SVN,MF,Crotone,it Serie A,20,1995,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1354,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,25,1991,28,28,2471,27.5,2,0,2,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,2016-2017,,,,,,,,,,,,
1355,Anthony Koura,bf BFA,"FW,MF",Nancy,fr Ligue 1,23,1993,15,8,766,8.5,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,2016-2017,,,,,,,,,,,,
1356,Cheikhou Kouyaté,sn SEN,"MF,DF",West Ham,eng Premier League,26,1989,31,31,2722,30.2,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches,2016-2017,,,,,,,,,,,,
1357,Mateo Kovačić,hr CRO,MF,Real Madrid,es La Liga,22,1994,28,20,1778,19.8,1,3,4,1,0,0,2,0,0.05,0.15,0.20,0.05,0.20,Matches,2016-2017,,,,,,,,,,,,
1358,Vincent Koziello,fr FRA,MF,Nice,fr Ligue 1,20,1995,27,19,1669,18.5,1,1,2,1,0,0,4,0,0.05,0.05,0.11,0.05,0.11,Matches,2016-2017,,,,,,,,,,,,
1359,Emil Krafth,se SWE,DF,Bologna,it Serie A,21,1994,26,16,1656,18.4,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1360,Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,de Bundesliga,25,1991,34,28,2364,26.3,15,8,23,10,5,5,1,0,0.57,0.30,0.88,0.38,0.69,Matches,2016-2017,,,,,,,,,,,,
1361,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,25,1991,24,23,1962,21.8,0,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1362,Matías Kranevitter,ar ARG,MF,Sevilla,es La Liga,23,1993,21,14,1285,14.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1363,Artem Kravets,ua UKR,FW,Granada,es La Liga,27,1989,26,16,1376,15.3,5,2,7,5,0,0,2,0,0.33,0.13,0.46,0.33,0.46,Matches,2016-2017,,,,,,,,,,,,
1364,Ladislav Krejčí,cz CZE,"FW,MF",Bologna,it Serie A,24,1992,37,33,2772,30.8,1,8,9,0,1,1,2,0,0.03,0.26,0.29,0.00,0.26,Matches,2016-2017,,,,,,,,,,,,
1365,Rene Krhin,si SVN,MF,Granada,es La Liga,26,1990,12,11,934,10.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1366,Bojan Krkić,es ESP,"MF,FW",Stoke City,eng Premier League,25,1990,9,5,475,5.3,3,0,3,1,2,3,1,0,0.57,0.00,0.57,0.19,0.19,Matches,2016-2017,,,,,,,,,,,,
1367,Bojan Krkić,es ESP,"MF,FW",Mainz 05,de Bundesliga,25,1990,11,8,628,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,2016-2017,,,,,,,,,,,,
1368,Michael Krohn-Dehli,dk DEN,"MF,FW",Sevilla,es La Liga,33,1983,2,2,170,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1369,Toni Kroos,de GER,MF,Real Madrid,es La Liga,26,1990,29,28,2497,27.7,3,11,14,3,0,0,6,0,0.11,0.40,0.50,0.11,0.50,Matches,2016-2017,,,,,,,,,,,,
1370,Nenad Krstičić,rs SRB,MF,Alavés,es La Liga,26,1990,14,9,745,8.3,2,0,2,2,0,0,3,0,0.24,0.00,0.24,0.24,0.24,Matches,2016-2017,,,,,,,,,,,,
1371,Rade Krunić,ba BIH,MF,Empoli,it Serie A,22,1993,32,29,2431,27.0,2,1,3,2,0,0,10,0,0.07,0.04,0.11,0.07,0.11,Matches,2016-2017,,,,,,,,,,,,
1372,Max Kruse,de GER,FW,Werder Bremen,de Bundesliga,28,1988,23,23,2043,22.7,15,7,22,11,4,4,1,0,0.66,0.31,0.97,0.48,0.79,Matches,2016-2017,,,,,,,,,,,,
1373,Grzegorz Krychowiak,pl POL,MF,Paris S-G,fr Ligue 1,26,1990,11,7,659,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1374,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,23,1992,16,14,1153,12.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1375,Juraj Kucka,sk SVK,MF,Milan,it Serie A,29,1987,30,23,2082,23.1,3,1,4,3,0,0,10,5,0.13,0.04,0.17,0.13,0.17,Matches,2016-2017,,,,,,,,,,,,
1376,Sven Kums,be BEL,MF,Udinese,it Serie A,28,1988,29,20,1828,20.3,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,2016-2017,,,,,,,,,,,,
1377,Sinan Kurt,tr TUR,"FW,MF",Hertha BSC,de Bundesliga,20,1996,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1378,Jasmin Kurtić,si SVN,"MF,FW",Atalanta,it Serie A,27,1989,37,35,2739,30.4,6,3,9,6,0,0,7,0,0.20,0.10,0.30,0.20,0.30,Matches,2016-2017,,,,,,,,,,,,
1379,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,23,1992,18,18,1527,17.0,2,2,4,2,0,0,3,0,0.12,0.12,0.24,0.12,0.24,Matches,2016-2017,,,,,,,,,,,,
1380,Zdravko Kuzmanović,rs SRB,MF,Málaga,es La Liga,28,1987,4,3,214,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1381,Han Kwang-song,kp PRK,FW,Cagliari,it Serie A,17,1998,5,0,64,0.7,1,0,1,1,0,0,0,0,1.41,0.00,1.41,1.41,1.41,Matches,2016-2017,,,,,,,,,,,,
1382,Enock Kwateng,fr FRA,DF,Nantes,fr Ligue 1,19,1997,7,4,430,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1383,Gaëtan Laborde,fr FRA,FW,Bordeaux,fr Ligue 1,22,1994,36,21,2033,22.6,6,5,11,6,0,0,3,0,0.27,0.22,0.49,0.27,0.49,Matches,2016-2017,,,,,,,,,,,,
1384,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,25,1991,30,28,2405,26.7,28,3,31,18,10,12,3,0,1.05,0.11,1.16,0.67,0.79,Matches,2016-2017,,,,,,,,,,,,
1385,Léo Lacroix,ch SUI,DF,Saint-Étienne,fr Ligue 1,24,1992,20,18,1681,18.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1386,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,17,1999,36,36,3240,36.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1387,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,26,1989,26,24,2149,23.9,2,1,3,2,0,0,6,0,0.08,0.04,0.13,0.08,0.13,Matches,2016-2017,,,,,,,,,,,,
1388,Philipp Lahm,de GER,DF,Bayern Munich,de Bundesliga,32,1983,26,24,2085,23.2,1,2,3,1,0,0,1,0,0.04,0.09,0.13,0.04,0.13,Matches,2016-2017,,,,,,,,,,,,
1389,Adam Lallana,eng ENG,"MF,FW",Liverpool,eng Premier League,28,1988,31,27,2348,26.1,8,6,14,8,0,0,3,0,0.31,0.23,0.54,0.31,0.54,Matches,2016-2017,,,,,,,,,,,,
1390,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,26,1989,21,20,1883,20.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1391,Rickie Lambert,eng ENG,FW,West Brom,eng Premier League,34,1982,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1392,Érik Lamela,ar ARG,MF,Tottenham,eng Premier League,24,1992,9,6,594,6.6,1,3,4,1,0,1,1,0,0.15,0.45,0.61,0.15,0.61,Matches,2016-2017,,,,,,,,,,,,
1393,Ádám Lang,hu HUN,DF,Dijon,fr Ligue 1,23,1993,19,18,1625,18.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1394,Sebastian Langkamp,de GER,DF,Hertha BSC,de Bundesliga,28,1988,27,26,2310,25.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1395,Manuel Lanzini,ar ARG,MF,West Ham,eng Premier League,23,1993,35,31,2706,30.1,8,2,10,6,2,2,9,0,0.27,0.07,0.33,0.20,0.27,Matches,2016-2017,,,,,,,,,,,,
1396,Gianluca Lapadula,pe PER,FW,Milan,it Serie A,26,1990,27,12,1262,14.0,8,3,11,6,2,2,3,0,0.57,0.21,0.78,0.43,0.64,Matches,2016-2017,,,,,,,,,,,,
1397,Aymeric Laporte,es ESP,DF,Athletic Club,es La Liga,22,1994,33,33,2864,31.8,2,0,2,2,0,0,10,0,0.06,0.00,0.06,0.06,0.06,Matches,2016-2017,,,,,,,,,,,,
1398,Danilo Larangeira,br BRA,DF,Udinese,it Serie A,32,1984,36,36,3203,35.6,2,1,3,2,0,0,9,1,0.06,0.03,0.08,0.06,0.08,Matches,2016-2017,,,,,,,,,,,,
1399,Seb Larsson,se SWE,MF,Sunderland,eng Premier League,31,1985,21,17,1469,16.3,0,1,1,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matches,2016-2017,,,,,,,,,,,,
1400,Miguel de las Cuevas,es ESP,MF,Osasuna,es La Liga,30,1986,28,20,1796,20.0,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,2016-2017,,,,,,,,,,,,
1401,Paul Lasne,fr FRA,MF,Montpellier,fr Ligue 1,27,1989,24,16,1485,16.5,3,2,5,3,0,0,1,0,0.18,0.12,0.30,0.18,0.30,Matches,2016-2017,,,,,,,,,,,,
1402,Pierre-Michel Lasogga,de GER,FW,Hamburger SV,de Bundesliga,24,1991,20,5,549,6.1,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,2016-2017,,,,,,,,,,,,
1403,Toni Lato,es ESP,DF,Valencia,es La Liga,18,1997,8,4,483,5.4,0,1,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches,2016-2017,,,,,,,,,,,,
1404,Danny Latza,de GER,MF,Mainz 05,de Bundesliga,26,1989,21,18,1576,17.5,4,1,5,4,0,0,6,0,0.23,0.06,0.29,0.23,0.29,Matches,2016-2017,,,,,,,,,,,,
1405,Laure,es ESP,DF,La Coruña,es La Liga,31,1985,7,4,427,4.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1406,Vincent Laurini,fr FRA,DF,Empoli,it Serie A,27,1989,24,24,1910,21.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1407,Wesley Lautoa,nc NCL,"MF,DF",Lorient,fr Ligue 1,28,1987,21,18,1507,16.7,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches,2016-2017,,,,,,,,,,,,
1408,Diego Laxalt,uy URU,MF,Genoa,it Serie A,23,1993,36,36,3135,34.8,1,4,5,1,0,0,5,0,0.03,0.11,0.14,0.03,0.14,Matches,2016-2017,,,,,,,,,,,,
1409,Darko Lazović,rs SRB,"MF,FW",Genoa,it Serie A,25,1990,33,30,2450,27.2,2,4,6,2,0,0,4,2,0.07,0.15,0.22,0.07,0.22,Matches,2016-2017,,,,,,,,,,,,
1410,Mickaël Le Bihan,fr FRA,FW,Nice,fr Ligue 1,26,1990,10,2,306,3.4,3,0,3,3,0,0,0,0,0.88,0.00,0.88,0.88,0.88,Matches,2016-2017,,,,,,,,,,,,
1411,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,26,1989,38,37,3336,37.1,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches,2016-2017,,,,,,,,,,,,
1412,Maxime Le Marchand,fr FRA,DF,Nice,fr Ligue 1,26,1989,10,8,707,7.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1413,James Lea Siliki,cm CMR,"FW,MF",Rennes,fr Ligue 1,20,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1414,Grant Leadbitter,eng ENG,MF,Middlesbrough,eng Premier League,30,1986,13,7,710,7.9,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,2016-2017,,,,,,,,,,,,
1415,Jordan Leborgne,gp GLP,DF,Caen,fr Ligue 1,20,1995,6,2,248,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1416,Jean-Louis Leca,fr FRA,GK,Bastia,fr Ligue 1,30,1985,34,34,3017,33.5,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1417,Mathew Leckie,au AUS,"MF,FW",Ingolstadt 04,de Bundesliga,25,1991,30,25,2084,23.2,0,2,2,0,0,0,3,3,0.00,0.09,0.09,0.00,0.09,Matches,2016-2017,,,,,,,,,,,,
1418,Benjamin Lecomte,fr FRA,GK,Lorient,fr Ligue 1,25,1991,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1419,Joe Ledley,wls WAL,MF,Crystal Palace,eng Premier League,29,1987,18,13,1160,12.9,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches,2016-2017,,,,,,,,,,,,
1420,Pierre Lees-Melou,fr FRA,"MF,FW",Dijon,fr Ligue 1,23,1993,32,30,2484,27.6,7,3,10,7,0,0,3,0,0.25,0.11,0.36,0.25,0.36,Matches,2016-2017,,,,,,,,,,,,
1421,Matthias Lehmann,de GER,MF,Köln,de Bundesliga,33,1983,21,21,1820,20.2,0,2,2,0,0,0,7,0,0.00,0.10,0.10,0.00,0.10,Matches,2016-2017,,,,,,,,,,,,
1422,Robert Leipertz,de GER,"FW,MF",Ingolstadt 04,de Bundesliga,23,1993,6,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1423,Moritz Leitner,de GER,MF,Lazio,it Serie A,23,1992,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1424,Moritz Leitner,de GER,MF,Augsburg,de Bundesliga,23,1992,6,2,240,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1425,Lucas Leiva,br BRA,"MF,DF",Liverpool,eng Premier League,29,1987,24,12,1112,12.4,0,2,2,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,Matches,2016-2017,,,,,,,,,,,,
1426,Florian Lejeune,fr FRA,DF,Eibar,es La Liga,25,1991,34,33,2970,33.0,1,1,2,1,0,0,7,1,0.03,0.03,0.06,0.03,0.06,Matches,2016-2017,,,,,,,,,,,,
1427,Kevin Lejeune,fr FRA,MF,Metz,fr Ligue 1,31,1985,14,8,636,7.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1428,Jonathan Leko,eng ENG,"FW,MF",West Brom,eng Premier League,17,1999,9,0,181,2.0,0,1,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,Matches,2016-2017,,,,,,,,,,,,
1429,Iñigo Lekue,es ESP,"MF,DF",Athletic Club,es La Liga,23,1993,25,17,1575,17.5,2,1,3,2,0,0,1,0,0.11,0.06,0.17,0.11,0.17,Matches,2016-2017,,,,,,,,,,,,
1430,Thomas Lemar,fr FRA,MF,Monaco,fr Ligue 1,20,1995,34,28,2610,29.0,9,11,20,9,0,0,1,0,0.31,0.38,0.69,0.31,0.69,Matches,2016-2017,,,,,,,,,,,,
1431,Mario Lemina,ga GAB,MF,Juventus,it Serie A,22,1993,19,8,906,10.1,1,1,2,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches,2016-2017,,,,,,,,,,,,
1432,Fabien Lemoine,fr FRA,MF,Saint-Étienne,fr Ligue 1,29,1987,16,9,780,8.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1433,Álvaro Lemos,es ESP,"DF,MF",Celta Vigo,es La Liga,23,1993,5,5,438,4.9,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,2016-2017,,,,,,,,,,,,
1434,Mauricio Lemos,uy URU,DF,Las Palmas,es La Liga,20,1995,23,21,1852,20.6,5,0,5,5,0,0,6,0,0.24,0.00,0.24,0.24,0.24,Matches,2016-2017,,,,,,,,,,,,
1435,Clément Lenglet,fr FRA,DF,Sevilla,es La Liga,21,1995,17,15,1358,15.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1436,Clément Lenglet,fr FRA,DF,Nancy,fr Ligue 1,21,1995,18,18,1620,18.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1437,Ermir Lenjani,al ALB,"DF,FW",Rennes,fr Ligue 1,26,1989,2,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1438,Aaron Lennon,eng ENG,"MF,FW",Everton,eng Premier League,29,1987,11,6,509,5.7,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches,2016-2017,,,,,,,,,,,,
1439,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,24,1992,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1440,Jeremain Lens,nl NED,"FW,MF",Sunderland,eng Premier League,28,1987,2,0,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1441,Pedro León,es ESP,MF,Eibar,es La Liga,29,1986,37,34,3004,33.4,10,5,15,9,1,3,6,0,0.30,0.15,0.45,0.27,0.42,Matches,2016-2017,,,,,,,,,,,,
1442,Sergio León,es ESP,FW,Osasuna,es La Liga,27,1989,33,27,2393,26.6,10,0,10,9,1,1,4,0,0.38,0.00,0.38,0.34,0.34,Matches,2016-2017,,,,,,,,,,,,
1443,Benjamin Leroy,fr FRA,GK,Dijon,fr Ligue 1,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1444,Joleon Lescott,eng ENG,DF,Sunderland,eng Premier League,33,1982,2,1,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1445,Filip Lesniak,sk SVK,MF,Tottenham,eng Premier League,20,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1446,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,25,1990,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1447,Timo Letschert,nl NED,DF,Sassuolo,it Serie A,23,1993,9,9,663,7.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1448,Tobias Levels,de GER,DF,Ingolstadt 04,de Bundesliga,29,1986,10,8,721,8.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1449,Dorian Lévêque,fr FRA,DF,Guingamp,fr Ligue 1,26,1989,2,2,165,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1450,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,27,1988,33,31,2775,30.8,30,5,35,25,5,5,5,0,0.97,0.16,1.14,0.81,0.97,Matches,2016-2017,,,,,,,,,,,,
1451,Igor Lewczuk,pl POL,DF,Bordeaux,fr Ligue 1,31,1985,25,25,2113,23.5,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,2016-2017,,,,,,,,,,,,
1452,Stefan Lex,de GER,MF,Ingolstadt 04,de Bundesliga,26,1989,13,2,333,3.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1453,Aaron Leya Iseka,be BEL,"MF,FW",Marseille,fr Ligue 1,18,1997,8,3,260,2.9,0,1,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches,2016-2017,,,,,,,,,,,,
1454,Dario Lezcano,py PAR,FW,Ingolstadt 04,de Bundesliga,26,1990,33,27,2507,27.9,6,3,9,6,0,1,4,0,0.22,0.11,0.32,0.22,0.32,Matches,2016-2017,,,,,,,,,,,,
1455,Luca Lezzerini,it ITA,GK,Fiorentina,it Serie A,21,1995,1,0,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
1456,Stephan Lichtsteiner,ch SUI,"DF,MF",Juventus,it Serie A,32,1984,26,22,1866,20.7,1,2,3,1,0,0,5,0,0.05,0.10,0.14,0.05,0.14,Matches,2016-2017,,,,,,,,,,,,
1457,Lillo,es ESP,DF,Sporting Gijón,es La Liga,27,1989,25,24,2136,23.7,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
