Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
14,Antonio Adán,es ESP,GK,Betis,es La Liga,29,1987,37,37,3330,37.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
15,Jordan Adéoti,bj BEN,DF,Caen,fr Ligue 1,27,1989,27,23,2120,23.6,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,2016-2017,,,,,,,,,,,,
16,Claud Adjapong,it ITA,"DF,FW",Sassuolo,it Serie A,18,1998,9,6,510,5.7,1,0,1,1,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,2016-2017,,,,,,,,,,,,
17,René Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
18,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,it Serie A,22,1993,14,8,872,9.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
19,Albert Adomah,gh GHA,MF,Middlesbrough,eng Premier League,28,1987,2,1,122,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
20,Adrián,es ESP,GK,West Ham,eng Premier League,29,1987,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
21,Luiz Adriano,br BRA,FW,Milan,it Serie A,29,1987,7,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,35,1981,32,27,2458,27.3,16,1,17,11,5,5,8,1,0.59,0.04,0.62,0.40,0.44,Matches,2016-2017,,,,,,,,,,,,
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,30,1986,12,3,384,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
24,Akram Afif,qa QAT,MF,Sporting Gijón,es La Liga,19,1996,9,2,234,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
25,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,23,1993,31,14,1461,16.2,6,3,9,6,0,1,1,0,0.37,0.18,0.55,0.37,0.55,Matches,2016-2017,,,,,,,,,,,,
26,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,28,1988,31,25,2403,26.7,20,4,24,16,4,5,4,1,0.75,0.15,0.90,0.60,0.75,Matches,2016-2017,,,,,,,,,,,,
27,Dan Agyei,eng ENG,"FW,MF",Burnley,eng Premier League,19,1997,3,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
28,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,25,1990,29,20,2033,22.6,0,3,3,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches,2016-2017,,,,,,,,,,,,
29,Ola Aina,ng NGA,"DF,MF",Chelsea,eng Premier League,19,1996,3,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
30,Youssef Aït Bennasser,ma MAR,MF,Nancy,fr Ligue 1,20,1996,26,23,1930,21.4,3,1,4,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19,Matches,2016-2017,,,,,,,,,,,,
31,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,23,1993,8,6,492,5.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
32,Arlind Ajeti,al ALB,DF,Torino,it Serie A,22,1993,4,3,251,2.8,1,0,1,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches,2016-2017,,,,,,,,,,,,
33,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,21,1995,10,8,735,8.2,3,0,3,3,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches,2016-2017,,,,,,,,,,,,
34,Nathan Aké,nl NED,DF,Chelsea,eng Premier League,21,1995,2,1,99,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
35,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,fr Ligue 1,23,1992,2,0,73,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
36,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,24,1992,32,29,2506,27.8,4,4,8,4,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches,2016-2017,,,,,,,,,,,,
37,Javi Álamo,es ESP,"FW,MF",Osasuna,es La Liga,27,1988,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
38,Jordi Alba,es ESP,DF,Barcelona,es La Liga,27,1989,26,21,1968,21.9,1,6,7,1,0,0,4,0,0.05,0.27,0.32,0.05,0.32,Matches,2016-2017,,,,,,,,,,,,
39,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,27,1988,27,26,2335,25.9,1,1,2,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08,Matches,2016-2017,,,,,,,,,,,,
40,Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,23,1992,9,4,365,4.1,1,2,3,1,0,0,0,0,0.25,0.49,0.74,0.25,0.74,Matches,2016-2017,,,,,,,,,,,,
41,Raúl Albiol,es ESP,DF,Napoli,it Serie A,30,1985,26,25,2297,25.5,0,1,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,Matches,2016-2017,,,,,,,,,,,,
42,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,26,1989,33,29,2411,26.8,2,6,8,2,0,0,5,0,0.07,0.22,0.30,0.07,0.30,Matches,2016-2017,,,,,,,,,,,,
43,Paco Alcácer,es ESP,FW,Barcelona,es La Liga,22,1993,20,6,858,9.5,6,3,9,6,0,0,1,0,0.63,0.31,0.94,0.63,0.94,Matches,2016-2017,,,,,,,,,,,,
44,Paco Alcácer,es ESP,FW,Valencia,es La Liga,22,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
45,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,25,1991,27,26,2288,25.4,6,5,11,6,0,0,4,0,0.24,0.20,0.43,0.24,0.43,Matches,2016-2017,,,,,,,,,,,,
46,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,27,1989,30,30,2601,28.9,1,0,1,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,Matches,2016-2017,,,,,,,,,,,,
47,Haitam Aleesami,no NOR,"MF,DF",Palermo,it Serie A,25,1991,31,29,2630,29.2,1,3,4,1,0,0,6,0,0.03,0.10,0.14,0.03,0.14,Matches,2016-2017,,,,,,,,,,,,
